DateTime,Bug Fixes & Balancing,Skin,Event,Seasonal Reset,New Content,Catatan
2023-08-10,1,1,1,1,1,"Season 6 : invasion
New hero : illari
New gamemode : flashpoint
Invasion story missions
LTE : king's row - underworld
Bug fix & heroes balancing"
2023-08-24,1,0,0,0,0,Hero balancing : illari nerf
2023-09-01,1,0,0,0,1,"New gamemode : hero mastery
hero updates & bug fixes"
2023-09-19,1,0,0,0,0,gamemode update & bug fix
2023-09-21,1,0,0,0,0,hero balancing : bastion
2023-10-10,1,0,1,1,1,"season 7 : rise of darkness
new map : samoa
new event : halloween terror event"
2023-10-19,1,0,0,0,0,
2023-10-31,1,0,1,0,0,LTE : le sserafim x overwatch 2
2023-11-14,1,0,0,0,0,
2023-11-16,1,0,0,0,0,hero update : roadhog
2023-12-05,1,0,1,1,1,"Season 8 : call of the hunt
new hero : mauga
new event : winter wonderland"
2023-12-12,1,0,0,0,0,hero update : mauga
2023-12-19,1,0,0,0,0,hero update : mauga
2024-01-09,1,1,1,0,0,
2024-01-12,0,0,1,0,0,Quick Play: Hacked
2024-01-17,1,0,0,0,0,
2024-02-13,1,1,1,1,1,"Season 9, map updates, competitive updates"
2024-02-21,1,0,0,0,0,
2024-03-12,1,1,1,0,0,Cowboy Bebop collab
2024-03-18,0,0,1,0,0,Quick Play: Hacked
2024-03-19,1,0,0,0,0,
2024-03-28,0,0,0,0,1,New hero - Venture
2024-04-01,1,0,0,0,0,
2024-04-16,1,1,1,0,0,
2024-04-30,1,0,0,0,0,
2024-05-14,1,1,1,0,0,Porsche collab
2024-05-21,1,0,0,0,0,Venture balancing
2024-05-24,1,0,0,0,0,
2024-05-30,1,0,0,0,0,
2024-06-20,1,0,1,1,1,"Season 11 : Super Mega Ultrawatch
Community Crafted Mode
Hero Mastery - Kiriko and Soldier 76
Event for Hero Mastery
New Map : Runasapi & Map Updates
Challenge Update
Competitive Play Update
Hero Update & Bug fixes"
2024-07-09,1,1,1,0,1,"OVERWATCH 2 X TRANSFORMERS
SUMMER GAMES 2024
INTRODUCING MYTHIC WEAPONS
General Updates, Hero Updates & Bug Fixes"
2024-07-12,1,0,0,0,0,Hero Updates
2024-07-15,0,0,1,0,0,Pickable Passives in Quickmodes
2024-07-19,0,0,0,0,1,Introducing New Hero : Juno
2024-07-23,1,0,0,0,0,Bug Fixes
2024-08-20,1,0,1,1,1,"Season 12 - New frontiers
New Hero – Juno
New Core Game Mode - Clash
New Clash Map - Throne Of Anubis
Hero Mastery - Pharah and Zarya
Event for Hero Mastery
General Updates, Competitive Play Updates, Hero Updates, Map Updates & Bug Fixes"
2024-08-23,1,0,0,0,0,Hero Updates & Bug Fixes
2024-09-03,1,0,0,0,0,Hero Updates & Bug Fixes
2024-09-17,1,1,1,0,1,"Overwatch 2 x World of Warcraft
Sylvanas Windrunner Widowmaker, Lich King Reinhardt, Thrall Zenyatta, and Diamond Magni Torbjorn Legendary skins
General Updates
Hero Updates, Map Updates, & Bug Fixes"
2024-10-01,1,0,0,0,0,Bug Fixes
2024-10-15,1,1,1,1,1,"SEASON 13 - SEASON OF SPELLBINDERS
OVERWATCH 2 X MY HERO ACADEMIA®
HALLOWEEN TERROR 2024
HERO MASTERY MODE - CASSIDY & BRIGITTE
GENERAL UPDATES, Hero Updates, Map Updates, & Bug Fixes"
2024-10-21,1,0,0,0,0,Hero Updates
2024-10-29,1,0,0,0,0,"Arcade Updates
Competitive Updates, Hero Updates, Bug Fixes"
2024-11-06,0,0,1,0,0,Limit 2
2024-11-12,1,0,1,0,0,"Overwatch: Classic
Warcraft: 30 Anniversary
Hero updates & bug fixes"
2024-11-22,0,0,0,0,1,New Hero : Hazard
2024-11-26,1,0,0,0,0,
2024-12-04,1,0,1,0,0,Limited Special Gamemode : Kingmaker
2024-12-10,1,0,1,1,1,"Season 14: Hazard
Winter Wonderland 2024
6V6 Role Queue Experiment
Hero Mastery - Ashe"
2024-12-16,1,0,0,0,0,
2024-12-17,1,0,0,0,1,6v6 Experiment – 2-2-2 Role Queue
2024-12-19,1,0,0,0,0,
2025-01-07,1,0,0,0,0,
2025-01-21,1,0,1,0,1,"YEAR OF THE SNAKE SEASONAL EVENT
VALENTINE’S DAY 2025
6V6 EXPERIMENTAL
OVERWATCH CLASSIC - MOTH META
NEW MYTHIC WEAPON - ASHE'S LEAD ROSE
COMPETITIVE UPDATES
Hero updates & bug fixes"
2025-01-28,0,0,0,0,1,New gamemode
2025-02-04,1,0,0,0,1,Introducing DirectX 12
2025-02-06,1,0,0,0,0,
2025-02-07,1,0,0,0,0,
2025-02-10,1,0,0,0,0,
2025-02-18,1,1,0,1,1,"Season 15 - Honor And Glory
New Mythic Skin - Pixiu Zenyatta
Loot Boxes(Gw masukin ke new content)
Competitive Play Updates
Hero Perks & Bug Fixes"
2025-02-20,1,0,0,0,0,
2025-02-25,1,0,0,0,0,
2025-03-04,1,0,0,0,0,
2025-04-18,1,1,1,0,0,"Overwatch 2 X LE SSERAFIM
Overwatch 2 Classic - GOATS
New Mythic Weapon - Widowmaker's Dame Chance
6v6 Open Queue - Max 2 Tanks
Hero updates & bug fixes"
2025-04-21,0,0,0,0,1,New Hero - Freja
2025-04-25,1,0,0,0,1,Balance changes apply to both 5v5 and 6v6 game modes(Gw masukin ke new content)
